participant_id,ISI,proportion_correct,m,r
9000,0,0.5,64,32
9000,8.4,0.59375,64,38
9000,17,0.6875,64,44
9000,26,0.765625,64,49
9000,34,0.734375,64,47
9000,59,0.984375,64,63
9000,100,0.984375,64,63
9000,142,0.984375,64,63
9000,200,0.984375,64,63
9001,0,0.515625,64,33
9001,8.4,0.453125,64,29
9001,17,0.515625,64,33
9001,26,0.59375,64,38
9001,34,0.53125,64,34
9001,59,0.8125,64,52
9001,100,0.984375,64,63
9001,142,0.984375,64,63
9001,200,1,64,64
9002,0,0.453125,64,29
9002,8.4,0.609375,64,39
9002,17,0.5625,64,36
9002,26,0.546875,64,35
9002,34,0.59375,64,38
9002,59,0.65625,64,42
9002,100,0.8125,64,52
9002,142,0.953125,64,61
9002,200,0.90625,64,58
9006,0,0.53125,64,34
9006,8.4,0.515625,64,33
9006,17,0.421875,64,27
9006,26,0.609375,64,39
9006,34,0.59375,64,38
9006,59,0.609375,64,39
9006,100,0.8125,64,52
9006,142,0.9375,64,60
9006,200,1,64,64
9005,0,0.5625,64,36
9005,8.4,0.5625,64,36
9005,17,0.65625,64,42
9005,26,0.421875,64,27
9005,34,0.5625,64,36
9005,59,0.625,64,40
9005,100,0.71875,64,46
9005,142,0.84375,64,54
9005,200,0.921875,64,59
9010,0,0.5625,64,36
9010,8.4,0.515625,64,33
9010,17,0.46875,64,30
9010,26,0.703125,64,45
9010,34,0.703125,64,45
9010,59,0.921875,64,59
9010,100,0.921875,64,59
9010,142,1,64,64
9010,200,0.953125,64,61
9007,0,0.484375,64,31
9007,8.4,0.5,64,32
9007,17,0.453125,64,29
9007,26,0.484375,64,31
9007,34,0.5625,64,36
9007,59,0.609375,64,39
9007,100,0.734375,64,47
9007,142,0.96875,64,62
9007,200,0.953125,64,61
9017,0,0.515625,64,33
9017,8.4,0.578125,64,37
9017,17,0.578125,64,37
9017,26,0.5625,64,36
9017,34,0.640625,64,41
9017,59,0.59375,64,38
9017,100,0.796875,64,51
9017,142,0.96875,64,62
9017,200,0.96875,64,62
9009,0,0.625,64,40
9009,8.4,0.34375,64,22
9009,17,0.515625,64,33
9009,26,0.515625,64,33
9009,34,0.578125,64,37
9009,59,0.8125,64,52
9009,100,0.96875,64,62
9009,142,1,64,64
9009,200,1,64,64
9003,0,0.46875,64,30
9003,8.4,0.5,64,32
9003,17,0.515625,64,33
9003,26,0.5,64,32
9003,34,0.5,64,32
9003,59,0.765625,64,49
9003,100,0.984375,64,63
